股票,族群,現價,AI分數,交易狀態,市場溫度,市場溫度類別,市場狀態,壓力,支撐,RR,多週期判讀,情境提醒,AI策略劇本,結構結果,日K方向,30分K方向,量價判讀,_cats,_sort,主力痕跡
8255 朋程,"車電功率,自選",168.0,100,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,169(30M平台) / 175(前高),167.85(MA20) / 163(前低),6.67,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.74x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 167.85(MA20) / 163(前低)，突破 169(30M平台) / 175(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜偏多,空｜偏多,放量｜RV 2.74x｜橫向整理,"車電功率,自選",3,量縮壓縮
5309 系統電,重電電力設備,74.1,100,主升多｜等突破,🔥 攻擊盤,temp-hot,初升,74.3(前高),74(前低) / 73.3(30M平台),2.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.37x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🔥 攻擊盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>盤面偏積極，續強機率較高。,"方向：多方續強
關鍵：守住 74(前低) / 73.3(30M平台)，突破 74.3(前高)，RR 佳
劇本：條件偏完整，可偏順勢；若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。",主升多,多｜強多,多｜偏多,放量｜RV 3.37x｜橫向整理,重電電力設備,0,一般整理
2458 義隆,MCU,161.0,100,主升多｜等突破,🔥 攻擊盤,temp-hot,初升,165.83(保守壓力),157.72(MA20) / 156.5(前低),1.47,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.13x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🔥 攻擊盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>盤面偏積極，續強機率較高。 追價報酬效率普通，宜等更明確的突破。,"方向：多方續強
關鍵：守住 157.72(MA20) / 156.5(前低)，突破 165.83(保守壓力)
劇本：若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。",主升多,多｜強多,多｜強多,放量｜RV 2.13x｜沿短均線攻擊,MCU,0,短線轉強
2382 廣達,AI伺服器,375.0,98,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,379.5(30M平台) / 390.5(前高),373(30M平台) / 340.68(MA20),2.25,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 5.28x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 373(30M平台) / 340.68(MA20)，突破 379.5(30M平台) / 390.5(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜強空,放量｜RV 5.28x｜沿短均線下殺,AI伺服器,3,量縮壓縮
3324 雙鴻,散熱液冷,1110.0,98,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,1143.3(保守壓力),1095(前低) / 1080(30M平台),2.22,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.21x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 1095(前低) / 1080(30M平台)，突破 1143.3(保守壓力)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏多,放量｜RV 4.21x｜沿短均線攻擊,散熱液冷,3,量縮壓縮
8054 安國,"自選題材,自選",103.0,97,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,103.06(MA60) / 104(30M平台),102(30M平台) / 100.5(前低),16.67,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.47x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 102(30M平台) / 100.5(前低)，突破 103.06(MA60) / 104(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",空方反彈,空｜偏空,多｜偏多,放量｜RV 3.47x｜均線上彎,"自選題材,自選",5,量縮壓縮
6213 聯茂,PCB載板材料,257.0,96,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,259(30M平台),243.5(30M平台) / 243.5(前低),6.75,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.13x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。,"方向：觀察整理
關鍵：守住 243.5(30M平台) / 243.5(前低)，突破 259(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",空方反彈,空｜偏空,多｜偏多,放量｜RV 2.13x｜均線上彎,PCB載板材料,5,短線轉強
6515 穎崴,封測,8610.0,95,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,8620(30M平台) / 8885.58(MA60),8380(前低) / 8375(30M平台),23.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.54x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 8380(前低) / 8375(30M平台)，突破 8620(30M平台) / 8885.58(MA60)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",空方反彈,空｜偏空,多｜強多,放量｜RV 2.54x｜沿短均線攻擊,封測,5,量縮壓縮
6781 AES-KY,BBU,1145.0,93,空方反彈｜看關鍵位,🌤 觀察盤,temp-neutral,反彈,1150(30M平台),1060(30M平台) / 1060(前低),17.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>空｜偏空</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>均線附近</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.44x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,屬於修復性反彈，重點看壓力能否消化。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。,"方向：觀察整理
關鍵：守住 1060(30M平台) / 1060(前低)，突破 1150(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",空方反彈,空｜偏空,多｜強多,放量｜RV 2.44x｜沿短均線攻擊,BBU,5,一般整理
3711 日月光投控,封測,569.0,92,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,570(30M平台) / 577(前高),568.4(MA20) / 540(30M平台),1.67,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 5.23x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。,"方向：觀察整理
關鍵：守住 568.4(MA20) / 540(30M平台)，突破 570(30M平台) / 577(前高)
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。",多方回檔,多｜偏多,空｜偏多,放量｜RV 5.23x｜沿短均線攻擊,封測,3,一般整理
