股票,族群,現價,AI分數,交易狀態,市場溫度,市場溫度類別,市場狀態,壓力,支撐,RR,多週期判讀,情境提醒,AI策略劇本,結構結果,日K方向,30分K方向,量價判讀,_cats,_sort,主力痕跡
6494 九齊,MCU,57.2,100,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,58(前高) / 58.2(30M平台),57.1(30M平台) / 56.1(前低),8.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 4.36x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 57.1(30M平台) / 56.1(前低)，突破 58(前高) / 58.2(30M平台)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜強多,空｜偏多,放量｜RV 4.36x｜橫向整理,MCU,3,量縮壓縮
2451 創見,記憶體,311.0,100,多方回檔｜看關鍵位,🌤 觀察盤,temp-neutral,洗盤,316.5(30M平台) / 316.5(前高),310(30M平台) / 304.88(MA20),5.50,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>空｜強空</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.53x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,短線壓回但承接尚在，較像換手整理。<br>目前較適合觀察確認。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：觀察整理
關鍵：守住 310(30M平台) / 304.88(MA20)，突破 316.5(30M平台) / 316.5(前高)，RR 佳
劇本：先看支撐是否守穩；重新站回壓力才提高攻擊假設。 量縮等待表態。",多方回檔,多｜偏多,空｜強空,放量｜RV 3.53x｜沿短均線下殺,記憶體,3,量縮壓縮
8039 台虹,"PCB,玻纖布",149.5,100,主升多｜等突破,🔥 攻擊盤,temp-hot,初升,151(前高) / 151.5(30M平台),149(30M平台) / 139(前低),3.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.25x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🔥 攻擊盤</span></div>,資金開始集中，整理後仍有續攻味道。<br>盤面偏積極，續強機率較高。 空間條件不差，若結構延續，仍有操作彈性。,"方向：多方續強
關鍵：守住 149(30M平台) / 139(前低)，突破 151(前高) / 151.5(30M平台)，RR 佳
劇本：條件偏完整，可偏順勢；若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。",主升多,多｜強多,多｜偏多,放量｜RV 2.25x｜均線上彎,"PCB,玻纖布",0,一般整理
2458 義隆,MCU,163.5,100,多方壓縮｜等方向,🔥 攻擊盤,temp-hot,壓縮等待,167.5(30M平台),162(30M平台) / 158.5(前低),2.67,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 1.85x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🔥 攻擊盤</span></div>,價格先收斂，市場在等方向表態。<br>盤面偏積極，續強機率較高。 空間條件不差，若結構延續，仍有操作彈性。 量縮壓縮味道明顯，等待方向確認即可。,"方向：多方續強
關鍵：守住 162(30M平台) / 158.5(前低)，突破 167.5(30M平台)，RR 佳
劇本：條件偏完整，可偏順勢；若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。 量縮等待表態。",多方壓縮,多｜強多,多｜偏多,放量｜RV 1.85x｜均線上彎,MCU,2,量縮壓縮
4562 穎漢,機器人,42.25,100,多方壓縮｜等方向,🔥 攻擊盤,temp-hot,壓縮等待,42.8(前高) / 42.8(30M平台),42(30M平台) / 40.8(前低),2.20,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.01x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🔥 攻擊盤</span></div>,價格先收斂，市場在等方向表態。<br>盤面偏積極，續強機率較高。 量縮壓縮味道明顯，等待方向確認即可。,"方向：多方續強
關鍵：守住 42(30M平台) / 40.8(前低)，突破 42.8(前高) / 42.8(30M平台)，RR 佳
劇本：條件偏完整，可偏順勢；若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。 量縮等待表態。",多方壓縮,多｜強多,多｜強多,放量｜RV 3.01x｜均線上彎,機器人,2,量縮壓縮
6202 盛群,MCU,61.1,100,多方壓縮｜等方向,🔥 攻擊盤,temp-hot,壓縮等待,61.9(30M平台),60.7(30M平台) / 58.9(前低),2.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.12x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🔥 攻擊盤</span></div>,價格先收斂，市場在等方向表態。<br>盤面偏積極，續強機率較高。 量縮壓縮味道明顯，等待方向確認即可。,"方向：多方續強
關鍵：守住 60.7(30M平台) / 58.9(前低)，突破 61.9(30M平台)，RR 佳
劇本：條件偏完整，可偏順勢；若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。 量縮等待表態。",多方壓縮,多｜強多,多｜強多,放量｜RV 2.12x｜均線上彎,MCU,2,量縮壓縮
3363 上詮,光通訊,846.0,100,多方壓縮｜等方向,🔥 攻擊盤,temp-hot,壓縮等待,852(前高) / 863(30M平台),842(30M平台) / 819.9(MA20),1.50,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜偏多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.70x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🔥 攻擊盤</span></div>,價格先收斂，市場在等方向表態。<br>盤面偏積極，續強機率較高。 量縮壓縮味道明顯，等待方向確認即可。,"方向：多方續強
關鍵：守住 842(30M平台) / 819.9(MA20)，突破 852(前高) / 863(30M平台)
劇本：條件偏完整，可偏順勢；若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。 量縮等待表態。",多方壓縮,多｜強多,多｜偏多,放量｜RV 2.70x｜均線上彎,光通訊,2,量縮壓縮
1513 中興電,自選,160.0,100,多方壓縮｜等方向,🔥 攻擊盤,temp-hot,壓縮等待,164.8(保守壓力),156.5(30M平台) / 154.5(前低),1.37,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.82x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🔥 攻擊盤</span></div>,價格先收斂，市場在等方向表態。<br>盤面偏積極，續強機率較高。 追價報酬效率普通，宜等更明確的突破。 量縮壓縮味道明顯，等待方向確認即可。,"方向：多方續強
關鍵：守住 156.5(30M平台) / 154.5(前低)，突破 164.8(保守壓力)
劇本：若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。 量縮等待表態。",多方壓縮,多｜強多,多｜強多,放量｜RV 2.82x｜沿短均線攻擊,自選,2,量縮壓縮
2359 所羅門,"自選,機器人",141.5,100,多方壓縮｜等方向,🌤 觀察盤,temp-neutral,壓縮等待,142.5(大量K) / 142.5(30M平台),140.5(30M平台) / 134(前低),1.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 2.79x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,價格先收斂，市場在等方向表態。<br>目前較適合觀察確認。 追價報酬效率普通，宜等更明確的突破。 量縮壓縮味道明顯，等待方向確認即可。,"方向：多方續強
關鍵：守住 140.5(30M平台) / 134(前低)，突破 142.5(大量K) / 142.5(30M平台)
劇本：若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。 量縮等待表態。",多方壓縮,多｜強多,多｜強多,放量｜RV 2.79x｜均線上彎,"自選,機器人",2,量縮壓縮
2421 建準,AI伺服器,162.5,100,多方壓縮｜等方向,🌤 觀察盤,temp-neutral,壓縮等待,163.5(30M平台),161.5(大量K) / 158.5(30M平台),1.00,<div class='layer'><span class='layer-label'>日K</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>30M</span><span class='layer-text'>多｜強多</span></div><div class='layer'><span class='layer-label'>位階</span><span class='layer-text'>中繼位階</span></div><div class='layer'><span class='layer-label'>節奏</span><span class='layer-text'>放量｜RV 3.15x</span></div><div class='layer'><span class='layer-label'>情緒</span><span class='layer-text'>🌤 觀察盤</span></div>,價格先收斂，市場在等方向表態。<br>目前較適合觀察確認。 追價報酬效率普通，宜等更明確的突破。 量縮壓縮味道明顯，等待方向確認即可。,"方向：多方續強
關鍵：守住 161.5(大量K) / 158.5(30M平台)，突破 163.5(30M平台)
劇本：若帶量站上壓力，續攻機率提高；跌破支撐則轉觀察。 量縮等待表態。",多方壓縮,多｜強多,多｜強多,放量｜RV 3.15x｜均線上彎,AI伺服器,2,量縮壓縮
